
sentence,label,categories
"If you cannot find the hospital contact number, call their GP, ring 111 or take them to your local accident and emergency department.",1,
There are strict rules because the sedation can remain in the body for up to 24 hours; you must follow the specific instructions your surgeon gives you.,1,
If a responsible adult escort is required they must stay in the clinic waiting room during your treatment and drive you home afterwards; otherwise you cannot have sedation.,2,
"On the day of your treatment under oral, intravenous or intranasal sedation you can have a light meal up to 2 hours before and can drink fluids up to the time of treatment, but do not drink alcohol the day before or on the day.",1,
"A responsible adult must bring you, drive you home and stay with you for the rest of the day; you cannot bring small children with you to your appointment.",2,
After your treatment you must not travel home by public transport such as a bus; you should stay at home resting quietly for 24 hours.,2,
"Do not drive a car or ride a bicycle, drink alcohol, operate machinery, or use a kettle or stove, or do any work or make important decisions for 24 hours as your balance, coordination and ability to think clearly will be affected.",3,
You can eat and drink normally once the numbness in your mouth has worn off.,0,
"If you have any pain, do not hesitate to take the painkillers recommended.",0,
"You must bring an escort who is able to stay in the building during your appointment, take you home and look after you for the remainder of the day or potentially stay overnight.",2,
"Your escort should be 18 years or older and cannot be responsible for children, elderly or dependents for the remainder of the day; they should take you home by car or taxi and you will not be permitted to drive for 24 hours.",2,
You must not consume any alcohol or recreational drugs in the 24 hours prior to your appointment; drugs and alcohol interact with the sedative and can put you in danger.,2,
There is no need to fast unless specifically told; otherwise have a light meal at least 2 hours before and avoid large meals or alcoholic beverages.,0,
Ensure you have had fluids to drink because dehydration makes it more difficult to find a vein.,0,
"If you are pregnant, trying to conceive or breastfeeding you must inform your dentist in advance.",1,
"You must wear flat, comfortable shoes as you may be unsteady on your feet afterwards.",0,
You must not wear any nail polish or false nails on your fingernails.,0,
If there is any change to your medical history you must inform your dentist before sedation is started.,1,
"You will not be discharged until you are orientated in time, place and person, your vital signs are normal, pain or discomfort has been addressed and the cannula removed, and the responsible escort is present.",1,
"After sedation, you should go straight home, rest and not return to work.",2,
You should not drive any type of vehicle or ride a bike.,2,
You must not be in charge of any children or dependent relatives.,2,
"You must not consume any alcohol, sleeping tablets or recreational drugs for 24 hours.",2,
You should not take any painkiller stronger than paracetamol or ibuprofen unless advised by your dentist.,1,
You must not operate any heavy machinery including kitchen equipment.,2,
You must not climb any heights such as ladders or scaffolding.,1,
You must not make any important decisions such as signing legal documents.,2,
You may wish to avoid using social media or going on the internet because your memory and judgement may be compromised.,1,
"If you have any concerns after leaving, contact the dental surgery or NHS 24.",1,
Patients may be disorientated or confused for a short time after treatment; it is important that someone will be responsible for them and take care of them.,1,
Patients should not go home until the dentist is satisfied they are in the care of a responsible adult.,2,
The patient's judgement is likely to be affected; patients should not make any irreversible decisions for up to 24 hours following their treatment.,3,
Patients should rest once they are home; care should be taken when cooking or using domestic appliances.,1,
"Patients should not drive a vehicle, ride a bicycle, operate machinery or drink alcohol until the following day and sometimes for up to 24 hours.",2,
"Owing to the after effects, care should be taken when using the internet for personal communication.",1,
Patients may forget information soon after sedation; escorts may need to repeat instructions more than once.,0,
You have been given a sedative medication to assist with your procedure.,0,
You may experience a short period of memory loss during the time the sedation is effective.,1,
Sedation may impair your judgment for up to 24 hours.,2,
Most patients have feelings of tiredness afterwards.,1,
Some people may believe they are fine and unaffected by the medication but their reactions will be slower.,2,
You must have someone to take you home.,2,directive_harshness
You should have someone at home with you for the next 12 hours.,2,directive_harshness
You may feel sick after sedation so avoid eating large meals for 24 hours.,1,
We advise you to rest.,0,
Do not drive or ride a bicycle for 24 hours.,2,directive_harshness
Do not drink alcohol for 24 hours.,1,directive_harshness
Do not operate machinery or appliances such as kettles or cookers for 24 hours.,2,directive_harshness
Do not sign any legally binding documents.,2,directive_harshness
Do not care for any dependent adults or children without responsible help.,2,directive_harshness
"If you have concerns within 24 hours of receiving sedation, contact the Emergency Department.",0,
Intravenous sedation is used to help people who are very anxious cope with dental treatment.,0,
You will feel drowsy and relaxed and will also be able to understand and respond.,0,
Time will appear to pass very quickly and most people remember very little of the treatment afterwards.,0,
You must bring a responsible adult with you who must be present at the beginning of the appointment; children must not be brought to the appointment.,2,directive_harshness
You should not starve yourself; a light meal is advisable together with small non-alcoholic drinks.,0,directive_harshness
You must take your routine medicines at the usual time and bring inhalers.,0,directive_harshness
You should wear flat shoes and comfortable clothing.,0,directive_harshness
You must not drink any alcohol for 24 hours before your appointment.,1,directive_harshness
"You must not wear false nails, nail varnish or foundation make-up.",0,directive_harshness
"You must phone if there is a change in your health or you develop a cough, cold or chest problems.",0,directive_harshness
You must travel home with your escort by car or taxi.,2,directive_harshness
You must stay resting quietly at home for the rest of the day with a responsible adult present.,2,vivid_side_effects;directive_harshness
You must not drive or go on to the road.,2,directive_harshness
"You must not use any equipment that may harm you, such as kettles, cookers, knives or power tools.",2,directive_harshness
You must not sign any legal or business documents until the following day.,2,directive_harshness
You must not drink alcohol for 24 hours after sedation.,1,directive_harshness
You must not eat or drink anything for two hours prior to your appointment; before this you should have a light meal.,1,directive_harshness
No alcohol is to be consumed 24 hours prior to the appointment.,1,
You must be accompanied by a responsible adult who must be present in the waiting area and remain throughout the appointment.,2,directive_harshness
"The accompanying adult must remain in the building, escort you home and arrange for you to be looked after for the following 24 hours.",2,directive_harshness
The accompanying adult must not be in charge of any people other than the patient.,2,directive_harshness
If you are taking any medicines they should be taken at the usual times and brought with you.,0,directive_harshness
Any illness occurring before the appointment should be reported immediately.,0,directive_harshness
Ensure nail varnish and false nails are removed before the appointment.,0,
Your escort should take you home after treatment by private car or taxi and not public transport.,2,directive_harshness
"You must not drive any vehicle, operate machinery, use any domestic appliance or use the Internet for 24 hours following sedation.",2,directive_harshness
"You must not drink alcohol, return to work, make any important decisions or sign any legal documents for 24 hours after sedation.",2,directive_harshness
You are advised to leave any valuables with the person accompanying you or at home.,0,
If you are given premedication you must take it one hour prior to appointment and do not drive.,2,directive_harshness
You are advised to ask the sedation nurse or clinician any questions you may have about your treatment.,0,
Do not drink alcohol or caffeinated beverages for 24 hours prior to your appointment.,1,directive_harshness
Do not eat or drink anything 12 hours prior to your appointment.,1,directive_harshness
Regular medications should be taken as advised by Dr. Hebert.,0,directive_harshness
Wear loose fitting clothing.,0,
Take the attached pre-appointment pill one hour prior to your appointment.,0,
Have your driver bring you to our office; absolutely no driving yourself.,2,
Your driver should wait to receive your prescriptions while your treatment is being completed.,0,directive_harshness
"Do not take any narcotics, barbiturates, antidepressants or muscle relaxers for 24 hours.",1,directive_harshness
Do not drive for 18 hours after sedation.,2,directive_harshness
Do not operate any hazardous device for 18 hours after sedation.,2,directive_harshness
You should not be left unattended until you have fully recovered from the effects of sedation even if you are sleeping or appear to be alert.,2,directive_harshness
Do not use stairs until you have fully recovered; walk with an escort.,2,directive_harshness
Drink plenty of fluids as soon as possible; juice or other natural sugars are best.,0,uncertainty
"Eat when you are ready; soft foods such as eggs, yogurt or soup.",0,
Sedatives can cause some patients to feel a little disorientated or confused for some time after the treatment.,2,
"It is important that someone will be responsible for them and take care of them for the remainder of the day; occasionally, it may be necessary to stay with them overnight.",2,
The patient will not be allowed to go home until the dentist is satisfied that the patient is in the care of a responsible adult.,2,
You must arrive with the patient and remain throughout the duration of the treatment.,2,directive_harshness
The escort must take the patient home by car or taxi; not by public transport.,2,directive_harshness
The patient’s judgement is likely to be affected and they should not make any irreversible decisions for up to 24 hours.,2,directive_harshness
"If the escort normally looks after other dependents, they may need to make alternative arrangements.",2,
Patients should be encouraged to rest once they are home.,0,directive_harshness
"For up to 24 hours after sedation, the patient must not drive a car, ride a bicycle, drive an electric wheelchair or operate equipment including kitchen and domestic appliances.",2,directive_harshness
They must not return to school or work.,2,directive_harshness
"They must not take exercise, participate in sports or climb heights.",2,directive_harshness
They must not drink alcohol.,1,directive_harshness
They must not be the sole carer for children or dependents.,2,directive_harshness
"They must not make important or irreversible decisions, make purchases or use the internet.",2,directive_harshness
You must come to the Clinic with the person you are escorting and stay in the Clinic while they are having their treatment.,2,directive_harshness
Suitable transport should be arranged for you and the patient after the appointment; this can either be by car or taxi; neither public transport nor walking is suitable.,2,directive_harshness
The effects of sedation will last for approximately 24 hours and during this time the patient must not be left alone without an adult to supervise them.,2,directive_harshness
"If you plan to leave the patient with another adult, you must pass on these instructions.",0,directive_harshness
The patient must rest quietly at home for 24 hours.,2,directive_harshness
The patient must take their prescribed medications as normal.,0,directive_harshness
The patient must follow all instructions relating to their dental treatment.,0,directive_harshness
The patient must not drive any vehicle.,2,directive_harshness
The patient must not look after children or dependents.,2,directive_harshness
The patient must not make any important decisions or sign legal documents.,2,directive_harshness
The patient must not operate any household appliances.,2,directive_harshness
The patient must not operate any machinery.,2,directive_harshness
The patient must not drink alcohol or take recreational drugs.,2,directive_harshness
"If the patient is a breastfeeding mother, she must not breastfeed for 24 hours and should dispose of any milk expressed.",2,directive_harshness
Ensure that you have a responsible adult at home to look after you for the 24 hours following your sedation.,2,
Come to the hospital without make-up or nail polish as this may affect the accuracy of monitors used during the procedure and put you at risk.,1,
Pre-assessment will provide instructions on whether you are able to eat and drink before your procedure.,0,
"If you are ill and may not have recovered by the date of your surgery, please contact the department as the procedure may need to be postponed.",0,directive_harshness
You will need to be observed in the hospital until you recover enough from sedation.,0,directive_harshness
You will need to have a responsible adult at home for 24 hours following sedation to ensure that medical attention can be sought if you experience problems.,2,directive_harshness
Slowing of your breathing is a risk of sedation; this will be monitored and can be supported if needed.,2,
Your blood pressure may drop; this can be managed by altering the medication you are receiving or by providing medication to support your blood pressure.,2,
You may have a bruise at the site of the cannula.,1,
There is a small risk of feeling sick or vomiting.,1,vivid_side_effects
There is a rare risk of stomach contents going into your lungs.,3,
Have a light meal about 2 hours before your appointment.,0,
"Wear comfortable clothing with loose sleeves allowing easy access to the elbow region, and flat-heeled shoes.",0,
"Do not wear nail varnish, jewellery, make up or contact lenses.",0,directive_harshness
You must bring a responsible adult with you to escort you home and stay with you for at least 6 hours after sedation; sedation will not be given if you arrive without an escort or with children.,2,directive_harshness
Do not drink alcohol for 24 hours before the appointment or eat heavy meals or fatty foods on the day of your appointment.,1,directive_harshness
"Take your routine medication, unless otherwise instructed by the dentist, and bring any inhalers.",0,
Please phone before your appointment if you develop a cold or chest problem or if there is a change in your general health.,0,directive_harshness
Your escort will need to sign a document as part of the process of accepting responsibility for your aftercare.,0,
You must be taken home by car and looked after by a responsible adult for at least 6 hours.,2,directive_harshness
You will feel relaxed and possibly sleepy for the rest of the day.,0,
Be careful not to bite or burn your tongue or lips while you are numb.,0,vivid_side_effects
For 24 hours after sedation do not work or drive.,2,directive_harshness
For 24 hours after sedation do not use machinery.,2,directive_harshness
For 24 hours after sedation do not sign cheques or documents or make important decisions.,2,directive_harshness
For 24 hours after sedation do not breastfeed if you are a nursing mother.,2,directive_harshness
For 24 hours after sedation do not supervise young children alone.,2,directive_harshness
"We do not anticipate that you will have any problems but should you become concerned about anything, contact your sedationist or NHS Helpline 111 for advice.",0,directive_harshness
