
original,suggested
"However, even when no conditions are identified, it is still possible that some people may experience a reaction.","However, even when no conditions are identified, it is still possible that some people may experience a reaction."
"Any reaction to the dye is normally immediate, but occasionally a red, itchy rash can develop on the body some hours after the scan.","Any reaction to the dye is normally immediate, but occasionally a red, irritated skin irritation can develop on the body some hours after the scan."
"This is very rare, but if it does happen, you should contact your GP or local emergency department.","This is very rare, but if it does happen, you should contact your GP or local emergency department."
"Other rare but possible delayed reactions include nausea, vomiting, diarrhoea or constipation, abdominal pain, pain in the injected arm, rash, dizziness and headache.","Other rare but possible delayed reactions include feeling sick, feeling sick, loose stools or difficulty with bowel movements, abdominal discomfort, discomfort in the injected arm, skin irritation, dizziness and headache."
This is called extravasation.,This is called extravasation.
"Extravasation happens very rarely, but if it does occur, the area of your arm around the injection site may feel sore and swollen.","Extravasation happens very rarely, but if it does occur, the area of your arm around the injection site may feel sore and swollen."
"You will be advised to keep gently massaging the area, keep your arm raised up if possible, and apply a cold compress.","You will be advised to keep gently massaging the area, keep your arm raised up if possible, and apply a cold compress."
The swelling should clear within 24 hours.,The swelling (temporary) should clear within 24 hours.
"If problems persist or you have any concerns, you should contact your GP or nearest emergency department.","If problems persist or you have any concerns, you should contact your GP or nearest emergency department."
"Symptoms to watch for are ongoing pain, swelling, discoloration or redness.","Symptoms to watch for are ongoing discomfort, swelling (temporary), discoloration or redness."
"You should not ask your GP to prescribe oral sedatives before you come into hospital unless your care team agrees, otherwise it may not be possible for your treatment to proceed.","You should not ask your GP to prescribe oral sedatives before you come into hospital unless your care team agrees, otherwise it may not be possible for your treatment to proceed."
"For some procedures, it is possible to give sedation instead of a general anaesthetic, which may be helpful for patients with some medical problems.","For some procedures, it is possible to give sedation instead of a general anaesthetic, which may be helpful for patients with some medical problems."
You should plan for someone else to look after any children or elderly relatives until the day after the procedure.,You should plan for someone else to look after any children or elderly relatives until the day after the procedure.
"As the effects of sedation can last up to 24 hours, they should stay overnight to look after you.","As the effects of sedation can last up to 24 hours, they should stay overnight to look after you."
"If you have an illness or a cold or you are pregnant, please contact your hospital or clinic, as it may not be safe to have sedation and your treatment may have to be rearranged.","If you have an illness or a cold or you are pregnant, please contact your hospital or clinic, as it may not be safe to have sedation and your treatment may have to be rearranged."
"For moderate and deep sedation, you should stop eating six hours before your treatment, but you may drink normal amounts of clear fluids up to two hours before your treatment.","For moderate and deep sedation, you should stop eating six hours before your treatment, but you may drink normal amounts of clear fluids up to two hours before your treatment."
"For minimal sedation, fasting is often not required, but it is important to check exact instructions with your hospital.","For minimal sedation, fasting is often not required, but it is important to check exact instructions with your hospital."
"If you have diabetes, you should ask for specific instructions about when you should take your diabetic medication and stop eating food.","If you have diabetes, you should ask for specific instructions about when you should take your diabetic medication and stop eating food."
A capable adult must take you home by car or taxi—public transport is not advised after sedation—and stay overnight to look after you because effects can last up to 24 hours.,A capable adult must take you home by car or taxi—public transport is not advised after sedation—and stay overnight to look after you because effects can last up to 24 hours.
"If you have an illness, cold or are pregnant, contact your hospital or clinic as it may not be safe to have sedation and your treatment may need to be rearranged.","If you have an illness, cold or are pregnant, contact your hospital or clinic as it may not be safe to have sedation and your treatment may need to be rearranged."
"Your ability to make decisions and judgements may be affected for up to 24 hours after your treatment, so you should not make any important decisions during that time and should avoid posting on social media.","Your ability to make decisions and judgements may be affected for up to 24 hours after your treatment, so you should not make any important decisions during that time and should avoid posting on social media."
"You should not return to work, look after dependants, drive, cook or operate any machinery for 24 hours as it may take this time for the drugs to leave your body.","You should not return to work, look after dependants, drive, cook or operate any machinery for 24 hours as it may take this time for the drugs to leave your body."
There is a rare risk of stomach contents going into your lungs; follow the instructions for eating and drinking to keep this risk very low.,There is a rare chance of stomach contents going into your lungs; follow the instructions for eating and drinking to keep this chance very low.
Any allergic reaction to the sedation drugs is very rare.,Any allergy to the sedation drugs is very rare.
It is common for sedation to affect your judgement and memory for up to 24 hours.,It is common for sedation to affect your judgement and memory for up to 24 hours.
It is essential that you are accompanied to and from the hospital by an adult who must stay with you for 24 hours.,It is essential that you are accompanied to and from the hospital by an adult who must stay with you for 24 hours.
You must not travel home on public transport and must not drive yourself home.,You should not travel home on public transport and should not drive yourself home.
"Smoking delays healing and increases the risk of infection, so please avoid smoking before and after surgery.","Smoking delays healing and increases the chance of infection, so please avoid smoking before and after surgery."
"Following intravenous sedation and local anaesthetic, avoid driving, using any power tool or machinery, drinking alcohol, undue exertion, or making any vital decisions for at least 24 hours and preferably 48 hours.","Following intravenous sedation and local anaesthetic, avoid driving, using any power tool or machinery, drinking alcohol, undue exertion, or making any vital decisions for at least 24 hours and preferably 48 hours."
The sedation medicine or anaesthetic can make some patients slightly confused and unsteady; it can affect their judgement for up to 24 hours.,The sedation medicine or anaesthetic can make some patients slightly confused and unsteady; it can affect their judgement for up to 24 hours.
"Patients should not drive for 24 hours after a general anaesthetic or sedation, so take them home by car or taxi—public transport is not recommended.","Patients should not drive for 24 hours after a general anaesthetic or sedation, so take them home by car or taxi—public transport is not recommended."
"For up to 24 hours they should not be responsible for children or other people in their care, not drive or ride a bike, not cook or operate machinery, not drink alcohol, not make important decisions or sign legal documents, avoid posting on social media and not do online shopping.","For up to 24 hours they should not be responsible for children or other people in their care, not drive or ride a bike, not cook or operate machinery, not drink alcohol, not make important decisions or sign legal documents, avoid posting on social media and not do online shopping."
If a responsible adult escort is required they must stay in the clinic waiting room during your treatment and drive you home afterwards; otherwise you cannot have sedation.,If a responsible adult escort is required they must stay in the clinic waiting room during your treatment and drive you home afterwards; otherwise you cannot have sedation.
"A responsible adult must bring you, drive you home and stay with you for the rest of the day; you cannot bring small children with you to your appointment.","A responsible adult must bring you, drive you home and stay with you for the rest of the day; you cannot bring small children with you to your appointment."
After your treatment you must not travel home by public transport such as a bus; you should stay at home resting quietly for 24 hours.,After your treatment you should not travel home by public transport such as a bus; you should stay at home resting quietly for 24 hours.
"Do not drive a car or ride a bicycle, drink alcohol, operate machinery, or use a kettle or stove, or do any work or make important decisions for 24 hours as your balance, coordination and ability to think clearly will be affected.","please avoid drive a car or ride a bicycle, drink alcohol, operate machinery, or use a kettle or stove, or do any work or make important decisions for 24 hours as your balance, coordination and ability to think clearly will be affected."
"You must bring an escort who is able to stay in the building during your appointment, take you home and look after you for the remainder of the day or potentially stay overnight.","you should bring an escort who is able to stay in the building during your appointment, take you home and look after you for the remainder of the day or potentially stay overnight."
"Your escort should be 18 years or older and cannot be responsible for children, elderly or dependents for the remainder of the day; they should take you home by car or taxi and you will not be permitted to drive for 24 hours.","Your escort should be 18 years or older and cannot be responsible for children, elderly or dependents for the remainder of the day; they should take you home by car or taxi and you will not be permitted to drive for 24 hours."
There is a rare risk of stomach contents going into your lungs.,There is a very rare chance that stomach contents may enter your lungs.
